                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6842,                 2.8528,                 3.7903,                0.96582,                0.90262,                0.97415,                0.76473,                 0.9075,                 1.1351,                 2.1433,              0.0033319,              0.0033319,              0.0033319
                      2,                0.75258,                0.72897,                 1.5009,                 0.9964,                0.99509,                0.99496,                0.97223,                0.22094,                0.27305,                0.89646,              0.0065992,              0.0065992,              0.0065992
                      3,                0.41453,                0.40064,                  1.066,                0.99606,                0.99558,                0.99456,                0.99255,                0.15339,                0.17518,                0.84271,              0.0098006,              0.0098006,              0.0098006
                      4,                0.32072,                0.32177,                0.97545,                0.99597,                0.99558,                0.99482,                0.99316,                0.12676,                0.15697,                0.83622,               0.009703,               0.009703,               0.009703
                      5,                0.26367,                0.27945,                0.94173,                0.99601,                0.99558,                0.99464,                0.99335,                0.10498,                 0.1375,                 0.8266,               0.009604,               0.009604,               0.009604
                      6,                0.22952,                0.25304,                0.92468,                0.99558,                0.99553,                0.99491,                0.99397,                0.10461,                0.11424,                0.83394,               0.009505,               0.009505,               0.009505
                      7,                0.20851,                  0.234,                0.91591,                0.99607,                0.99601,                0.99496,                0.99433,                0.08858,                0.10185,                0.82298,               0.009406,               0.009406,               0.009406
                      8,                0.19396,                0.22114,                0.91105,                0.99607,                0.99604,                0.99485,                0.99397,                0.08335,                0.09657,                0.81512,               0.009307,               0.009307,               0.009307
                      9,                0.18288,                0.21101,                0.90846,                0.99604,                0.99607,                0.99496,                0.99416,                0.08456,                0.11439,                0.81215,               0.009208,               0.009208,               0.009208
                     10,                0.17305,                0.20015,                0.90407,                0.99607,                0.99605,                0.99495,                0.99381,                0.07417,                0.08511,                0.82765,               0.009109,               0.009109,               0.009109
                     11,                0.16804,                 0.1921,                0.90281,                0.99558,                0.99602,                0.99497,                0.99434,                 0.0887,                0.08666,                0.81527,                0.00901,                0.00901,                0.00901
                     12,                0.16353,                0.18904,                0.90171,                0.99605,                0.99607,                0.99496,                0.99432,                0.07817,                0.08623,                0.82946,               0.008911,               0.008911,               0.008911
                     13,                0.15903,                0.18267,                0.89974,                0.99607,                0.99599,                0.99496,                 0.9941,                0.06559,                0.08482,                0.82884,               0.008812,               0.008812,               0.008812
                     14,                0.15271,                0.17732,                0.89531,                0.99603,                0.99607,                0.99496,                0.99434,                0.06957,                0.07225,                0.82673,               0.008713,               0.008713,               0.008713
                     15,                0.15038,                0.17461,                0.89691,                0.99595,                0.99607,                0.99495,                0.99451,                0.06329,                0.06475,                0.82354,               0.008614,               0.008614,               0.008614
                     16,                0.14693,                0.16805,                0.89561,                0.99603,                0.99607,                0.99495,                0.99419,                0.06199,                0.06468,                0.82001,               0.008515,               0.008515,               0.008515
                     17,                0.14386,                0.16724,                0.89414,                0.99542,                0.99607,                0.99496,                 0.9943,                0.06524,                0.06632,                0.82132,               0.008416,               0.008416,               0.008416
                     18,                0.14083,                0.16473,                0.89198,                0.99552,                0.99607,                0.99496,                0.99433,                0.06509,                0.06984,                0.82238,               0.008317,               0.008317,               0.008317
                     19,                0.13925,                0.15889,                0.89051,                0.99504,                0.99607,                0.99495,                0.99435,                0.05607,                0.06278,                0.82202,               0.008218,               0.008218,               0.008218
                     20,                0.13533,                0.15647,                0.88901,                0.99603,                0.99607,                0.99496,                0.99441,                0.05434,                0.05909,                0.79652,               0.008119,               0.008119,               0.008119
                     21,                0.13424,                0.15353,                0.88829,                0.99555,                0.99607,                0.99495,                0.99436,                0.05424,                0.05793,                0.81884,                0.00802,                0.00802,                0.00802
