                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5645,                  5.777,                 3.0588,                0.43023,                0.06667,                0.06716,                0.04784,                 2.0678,                 4.5584,                 2.6024,             0.00064912,             0.00064912,             0.00064912
                      2,                 1.8574,                 2.6784,                 2.0633,                0.60871,                    0.1,                0.09813,                0.04978,                 1.9612,                 4.1412,                 2.3982,              0.0013028,              0.0013028,              0.0013028
                      3,                 1.5635,                 2.1345,                 1.7025,                0.42641,                0.19836,                0.25243,                 0.1386,                 1.6746,                 2.2757,                 1.9683,              0.0019432,              0.0019432,              0.0019432
                      4,                 1.4425,                 1.9602,                 1.6344,                0.40844,                0.23032,                0.31393,                0.19394,                 1.5065,                 2.1233,                 1.8765,              0.0019406,              0.0019406,              0.0019406
                      5,                  1.384,                 1.8133,                 1.5437,                 0.5029,                    0.2,                0.28741,                0.18518,                 1.4833,                 2.1976,                  1.933,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3383,                  1.746,                  1.517,                0.59558,                    0.3,                0.41061,                0.24734,                 1.2949,                 1.7874,                 1.8282,               0.001901,               0.001901,               0.001901
                      7,                  1.238,                 1.5912,                 1.4404,                 0.5098,                0.36667,                0.35916,                0.19724,                 1.2036,                 2.0083,                 1.7358,              0.0018812,              0.0018812,              0.0018812
                      8,                  1.263,                 1.6431,                 1.4916,                0.42233,                0.46667,                0.36828,                0.24134,                 1.2223,                 1.9545,                 1.7304,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2043,                 1.5262,                 1.4401,                0.37624,                0.60325,                0.44024,                0.31007,                 1.0955,                 1.7978,                 1.6666,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1802,                 1.4876,                 1.4118,                0.49291,                0.51868,                0.41699,                0.27303,                 1.2303,                 1.9433,                 1.7783,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.1542,                 1.3874,                 1.3722,                0.50818,                0.66667,                0.61032,                0.41993,                 1.2374,                 1.4388,                 1.8235,               0.001802,               0.001802,               0.001802
                     12,                  1.107,                 1.2831,                 1.3482,                0.54401,                0.56667,                0.55564,                0.40997,                 1.1621,                 1.4363,                 1.6813,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0996,                 1.3832,                 1.3076,                0.50611,                    0.6,                0.58131,                0.41376,                0.94333,                 1.4727,                 1.4488,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0241,                 1.2341,                 1.2539,                0.60906,                    0.6,                0.58649,                0.41826,                0.95043,                 1.4997,                 1.5321,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0362,                 1.1683,                 1.2635,                0.49344,                    0.7,                0.63708,                0.43769,                 1.0962,                 1.2564,                  1.543,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0409,                 1.1674,                 1.2731,                0.58879,                    0.8,                0.72242,                0.54783,                 0.9524,                 1.2489,                 1.5273,               0.001703,               0.001703,               0.001703
                     17,                 1.0703,                 1.2634,                 1.3014,                0.76005,                    0.5,                0.66127,                0.50814,                 0.8553,                 1.2632,                  1.406,              0.0016832,              0.0016832,              0.0016832
                     18,                 0.9916,                 1.0987,                 1.2416,                0.60005,                0.65038,                0.62202,                0.47444,                0.97643,                 1.3317,                 1.4617,              0.0016634,              0.0016634,              0.0016634
                     19,                 0.9903,                 1.1199,                 1.2253,                0.50396,                0.76667,                0.67479,                0.50878,                0.89964,                 1.2467,                 1.4159,              0.0016436,              0.0016436,              0.0016436
                     20,                0.98506,                 1.0878,                 1.2417,                0.43691,                0.77604,                0.58685,                0.48524,                0.86298,                 1.3978,                 1.3718,              0.0016238,              0.0016238,              0.0016238
                     21,                0.97046,                 1.0419,                  1.239,                0.51104,                0.73333,                0.63217,                 0.4963,                0.94133,                 1.4551,                 1.4654,               0.001604,               0.001604,               0.001604
                     22,                0.94477,                 1.0049,                 1.1956,                0.50425,                0.67829,                0.66412,                0.52096,                0.94401,                  1.296,                  1.471,              0.0015842,              0.0015842,              0.0015842
                     23,                0.92895,                 0.9785,                 1.1952,                0.68441,                0.56667,                0.72534,                0.56314,                0.87922,                 1.1295,                 1.4358,              0.0015644,              0.0015644,              0.0015644
                     24,                0.91929,                0.94291,                 1.2034,                0.69422,                0.66667,                 0.7584,                0.58755,                0.82619,                 1.0456,                 1.3873,              0.0015446,              0.0015446,              0.0015446
                     25,                0.92497,                0.95763,                 1.1809,                 0.6775,                    0.6,                0.64956,                0.47953,                0.92675,                 1.2698,                 1.4544,              0.0015248,              0.0015248,              0.0015248
                     26,                0.95277,                0.95568,                 1.2122,                0.62347,                0.60733,                0.70553,                0.54009,                0.94679,                 1.3495,                 1.4155,               0.001505,               0.001505,               0.001505
                     27,                0.92165,                0.88741,                 1.1804,                0.68201,                0.63333,                0.72765,                0.58191,                0.82875,                0.97145,                  1.298,              0.0014852,              0.0014852,              0.0014852
                     28,                 0.8367,                0.86324,                  1.125,                0.82876,                    0.6,                0.75112,                0.59406,                0.88813,                0.97387,                 1.3472,              0.0014654,              0.0014654,              0.0014654
